Account Statement for (Individual) since 9/5/24 through 9/5/24

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
9/5/24,01:00:00,BAL,,Cash balance at the start of business day 05.09 CST,,,,"3,659.48"
9/5/24,07:43:59,TRD,1001502981618,BOT +10 SHPH @3.26,,,-32.60,"3,626.88"
9/5/24,07:43:59,TRD,1001502981618,BOT +40 SHPH @3.26,,,-130.40,"3,496.48"
9/5/24,07:44:14,TRD,1001502981624,SOLD -50 SHPH @3.32,-0.01,,166.00,"3,662.47"
9/5/24,07:58:00,TRD,1001502981687,BOT +12 EAST @2.98,,,-35.76,"3,626.71"
9/5/24,07:58:01,TRD,1001502981687,BOT +88 EAST @2.98,,,-262.24,"3,364.47"
9/5/24,07:58:46,TRD,1001502981708,BOT +50 EAST @2.93,,,-146.50,"3,217.97"
9/5/24,07:58:55,TRD,1001502981715,BOT +50 EAST @2.87,,,-143.50,"3,074.47"
9/5/24,07:59:42,TRD,1001502981729,BOT +39 EAST @2.85,,,-111.15,"2,963.32"
9/5/24,07:59:42,TRD,1001502981729,BOT +11 EAST @2.85,,,-31.35,"2,931.97"
9/5/24,08:00:07,TRD,1001502981742,BOT +50 EAST @2.82,,,-141.00,"2,790.97"
9/5/24,08:08:10,TRD,1001502981939,SOLD -300 EAST @2.87,-0.07,,861.00,"3,651.90"
9/5/24,08:12:03,TRD,1001502981987,BOT +100 EAST @3.05,,,-305.00,"3,346.90"
9/5/24,08:13:38,TRD,1001503844005,SOLD -100 EAST @3.0003,-0.03,,300.03,"3,646.90"
9/5/24,08:27:32,TRD,1001503844259,BOT +100 FFIE @6.31,,,-631.00,"3,015.90"
9/5/24,08:27:56,TRD,1001503844263,SOLD -23 FFIE @6.41,,,147.43,"3,163.33"
9/5/24,08:27:56,TRD,1001503844263,SOLD -53 FFIE @6.41,-0.02,,339.73,"3,503.04"
9/5/24,08:27:56,TRD,1001503844263,SOLD -2 FFIE @6.41,,,12.82,"3,515.86"
9/5/24,08:27:57,TRD,1001503844263,SOLD -22 FFIE @6.41,-0.02,,141.02,"3,656.86"
9/5/24,09:32:36,TRD,1001503845788,BOT +100 EAST @2.74,,,-274.00,"3,382.86"
9/5/24,09:33:47,TRD,1001504584012,SOLD -100 EAST @2.71,-0.03,,271.00,"3,653.83"
9/5/24,09:40:22,TRD,1001504585191,BOT +200 HOTH @1.31,,,-262.00,"3,391.83"
9/5/24,09:45:45,TRD,1001505346010,SOLD -200 HOTH @1.1401,-0.04,,228.02,"3,619.81"
9/5/24,09:55:03,TRD,1001505347218,BOT +100 EAST @2.77,,,-277.00,"3,342.81"
9/5/24,09:55:36,TRD,1001505347320,SOLD -86 EAST @2.94,-0.02,,252.84,"3,595.63"
9/5/24,09:55:36,TRD,1001505347320,SOLD -14 EAST @2.94,-0.01,,41.16,"3,636.78"
9/5/24,10:03:32,TRD,1001506144349,BOT +100 WHLR @2.1591,,,-215.91,"3,420.87"
9/5/24,10:03:36,TRD,1001506144377,SOLD -100 WHLR @2.23,-0.03,,223.00,"3,643.84"
9/5/24,10:04:34,TRD,1001506144552,BOT +100 HOTH @1.3474,,,-134.74,"3,509.10"
9/5/24,10:04:41,TRD,1001506144561,SOLD -100 HOTH @1.36,-0.02,,136.00,"3,645.08"
9/5/24,10:11:16,TRD,1001506145230,BOT +100 WHLR @2.46,,,-246.00,"3,399.08"
9/5/24,10:11:40,TRD,1001506145248,SOLD -100 WHLR @2.47,-0.03,,247.00,"3,646.05"
9/5/24,10:12:03,TRD,1001506145280,BOT +100 WHLR @2.5666,,,-256.66,"3,389.39"
9/5/24,10:12:07,TRD,1001506145292,SOLD -100 WHLR @2.60,-0.03,,260.00,"3,649.36"
,,,,TOTAL,($0.36),,($9.76),"$3,649.36"

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance

 
"Total Cash $3,684.18"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,9/5/24 10:12:06,STOCK,SELL,-100,TO CLOSE,WHLR,,,STOCK,2.60,LMT,DAY,FILLED
,,9/5/24 10:12:02,STOCK,BUY,+100,TO OPEN,WHLR,,,STOCK,2.57,LMT,DAY,FILLED
,,9/5/24 10:11:40,STOCK,SELL,-100,TO CLOSE,WHLR,,,STOCK,2.47,LMT,DAY,FILLED
,,9/5/24 10:11:16,STOCK,BUY,+100,TO OPEN,WHLR,,,STOCK,2.46,LMT,DAY,FILLED
,,9/5/24 10:11:11,STOCK,BUY,+50,TO OPEN,WHLR,,,STOCK,2.41,LMT,DAY,CANCELED
,,9/5/24 10:04:38,STOCK,SELL,-100,TO CLOSE,HOTH,,,STOCK,1.36,LMT,DAY,FILLED
,,9/5/24 10:04:33,STOCK,BUY,+100,TO OPEN,HOTH,,,STOCK,1.35,LMT,DAY,FILLED
,,9/5/24 10:03:36,STOCK,SELL,-100,TO CLOSE,WHLR,,,STOCK,2.22,LMT,DAY,FILLED
,,9/5/24 10:03:31,STOCK,BUY,+100,TO OPEN,WHLR,,,STOCK,2.16,LMT,DAY,FILLED
,,9/5/24 09:55:36,STOCK,SELL,-100,TO CLOSE,EAST,,,STOCK,2.94,LMT,DAY,FILLED
,,9/5/24 09:55:02,STOCK,BUY,+100,TO OPEN,EAST,,,STOCK,2.77,LMT,DAY,FILLED
,,9/5/24 09:45:45,STOCK,SELL,-200,TO CLOSE,HOTH,,,STOCK,1.14,LMT,DAY,FILLED
,,9/5/24 09:40:33,STOCK,SELL,-200,TO CLOSE,HOTH,,,STOCK,1.19,LMT,DAY,CANCELED
,,9/5/24 09:40:22,STOCK,BUY,+200,TO OPEN,HOTH,,,STOCK,1.32,LMT,DAY,FILLED
,,9/5/24 09:33:46,STOCK,SELL,-100,TO CLOSE,EAST,,,STOCK,2.71,LMT,DAY,FILLED
,,9/5/24 09:32:55,STOCK,BUY,+100,TO OPEN,EAST,,,STOCK,2.63,LMT,DAY,CANCELED
,,9/5/24 09:32:36,STOCK,BUY,+100,TO OPEN,EAST,,,STOCK,2.74,LMT,DAY,FILLED
,,9/5/24 08:27:51,STOCK,SELL,-100,TO CLOSE,FFIE,,,STOCK,6.41,LMT,GTC_EXT,FILLED
,,9/5/24 08:27:32,STOCK,BUY,+100,TO OPEN,FFIE,,,STOCK,6.31,LMT,GTC_EXT,FILLED
,,9/5/24 08:13:38,STOCK,SELL,-100,TO CLOSE,EAST,,,STOCK,3.00,LMT,GTC_EXT,FILLED
,,9/5/24 08:12:00,STOCK,BUY,+100,TO OPEN,EAST,,,STOCK,3.05,LMT,GTC_EXT,FILLED
,,9/5/24 08:08:09,STOCK,SELL,-300,TO CLOSE,EAST,,,STOCK,2.87,LMT,GTC_EXT,FILLED
,,9/5/24 08:07:56,STOCK,SELL,-300,TO CLOSE,EAST,,,STOCK,2.87,LMT,GTC_EXT,CANCELED
,,9/5/24 08:04:59,STOCK,SELL,-300,TO CLOSE,EAST,,,STOCK,2.83,LMT,GTC_EXT,CANCELED
,,9/5/24 08:04:14,STOCK,SELL,-300,TO CLOSE,EAST,,,STOCK,2.91,LMT,GTC_EXT,CANCELED
,,9/5/24 08:00:07,STOCK,BUY,+50,TO OPEN,EAST,,,STOCK,2.82,LMT,GTC_EXT,FILLED
,,9/5/24 07:59:26,STOCK,BUY,+50,TO OPEN,EAST,,,STOCK,2.85,LMT,GTC_EXT,FILLED
,,9/5/24 07:58:54,STOCK,BUY,+50,TO OPEN,EAST,,,STOCK,2.87,LMT,GTC_EXT,FILLED
,,9/5/24 07:58:41,STOCK,BUY,+50,TO OPEN,EAST,,,STOCK,2.93,LMT,GTC_EXT,FILLED
,,9/5/24 07:58:27,STOCK,BUY,+50,TO OPEN,EAST,,,STOCK,2.92,LMT,GTC_EXT,CANCELED
,,9/5/24 07:57:58,STOCK,BUY,+100,TO OPEN,EAST,,,STOCK,2.98,LMT,GTC_EXT,FILLED
